EntityKey,ATF_ID,RowType,Company,CompanyNorm,ObservedName,VendorName,CompareKey
E-000000,ATF-00000,ATF,XXX,XXX,Not Found,,xxx|notfound
E-000001,ATF-00001,ATF,BCF,BCF,Baja,,bcf|baja
E-000001,ATF-00001,Major Vendor,BCF,BCF,Baja,Bull City,bcf|baja
E-000002,ATF-00002,ATF,BCF,BCF,Blue Raspberry,,bcf|blueraspberry
E-000002,ATF-00002,Major Vendor,BCF,BCF,Blue Raspberry,Bull City,bcf|blueraspberry
E-000003,ATF-00003,ATF,BCF,BCF,Blueberry,,bcf|blueberry
E-000003,ATF-00003,Major Vendor,BCF,BCF,Blueberry,Bull City,bcf|blueberry
E-000004,ATF-00004,ATF,BCF,BCF,Candy Cane,,bcf|candycane
E-000004,ATF-00004,Major Vendor,BCF,BCF,Candy Cane,Bull City,bcf|candycane
E-000005,ATF-00005,ATF,BCF,BCF,Cherry,,bcf|cherry
E-000005,ATF-00005,Major Vendor,BCF,BCF,Cherry,Bull City,bcf|cherry
E-000006,ATF-00006,ATF,BCF,BCF,Coffee Candy,,bcf|coffeecandy
E-000006,ATF-00006,Major Vendor,BCF,BCF,Coffee Candy,Bull City,bcf|coffeecandy
E-000007,ATF-00007,ATF,BCF,BCF,Grape Slush,,bcf|grapeslush
E-000007,ATF-00007,Major Vendor,BCF,BCF,Grape Slush,Bull City,bcf|grapeslush
E-000008,ATF-00008,ATF,BCF,BCF,Mango,,bcf|mango
E-000008,ATF-00008,Major Vendor,BCF,BCF,Mango,Bull City,bcf|mango
E-000009,ATF-00009,ATF,BCF,BCF,Peach,,bcf|peach
E-000009,ATF-00009,Major Vendor,BCF,BCF,Peach,Bull City,bcf|peach
E-000010,ATF-00010,ATF,BCF,BCF,Rich Vanilla,,bcf|richvanilla
E-000010,ATF-00010,Major Vendor,BCF,BCF,Rich Vanilla,Bull City,bcf|richvanilla
E-000011,ATF-00011,ATF,BCF,BCF,Root Beer,,bcf|rootbeer
E-000011,ATF-00011,Major Vendor,BCF,BCF,Root Beer,Bull City,bcf|rootbeer
E-000012,ATF-00012,ATF,BCF,BCF,Strawberry,,bcf|strawberry
E-000012,ATF-00012,Major Vendor,BCF,BCF,Strawberry,Bull City,bcf|strawberry
E-000013,ATF-00013,ATF,CAP,CAP,27 Bears,,cap|27bears
E-000013,ATF-00013,Major Vendor,CSL,CAP,27 Bears,Bull City,cap|27bears
E-000013,ATF-00013,Major Vendor,CAP,CAP,27 Bears,DIY eJuice,cap|27bears
E-000013,ATF-00013,Major Vendor,CSL,CAP,27 Bears,Nomz,cap|27bears
E-000014,ATF-00014,ATF,CAP,CAP,27 Fish,,cap|27fish
E-000014,ATF-00014,Major Vendor,CSL,CAP,27 Fish,Bull City,cap|27fish
E-000014,ATF-00014,Major Vendor,CAP,CAP,27 Fish,DIY eJuice,cap|27fish
E-000014,ATF-00014,Major Vendor,CSL,CAP,27 Fish,Nomz,cap|27fish
E-000015,ATF-00015,ATF,CAP,CAP,4U Blend,,cap|4ublend
E-000015,ATF-00015,Major Vendor,CAP,CAP,4U Blend,Bull City,cap|4ublend
E-000015,ATF-00015,Major Vendor,CAP,CAP,4U Blend,Nomz,cap|4ublend
E-000016,ATF-00016,ATF,CAP,CAP,Acai,,cap|acai
E-000016,ATF-00016,Major Vendor,CAP,CAP,Acai,DIY eJuice,cap|acai
E-000017,ATF-00017,ATF,CAP,CAP,Amaretto,,cap|amaretto
E-000018,ATF-00018,ATF,CAP,CAP,Anise,,cap|anise
E-000019,ATF-00019,ATF,CAP,CAP,Apple Pie,,cap|applepie
E-000019,ATF-00019,Major Vendor,CAP,CAP,Apple Pie,Bull City,cap|applepie
E-000019,ATF-00019,Major Vendor,CAP,CAP,Apple Pie,DIY eJuice,cap|applepie
E-000020,ATF-00020,ATF,CAP,CAP,Apple Pie V2,,cap|applepiev2
E-000020,ATF-00020,Major Vendor,CAP,CAP,Apple Pie V2,Bull City,cap|applepiev2
E-000020,ATF-00020,Major Vendor,CAP,CAP,Apple Pie V2,DIY eJuice,cap|applepiev2
E-000020,ATF-00020,Major Vendor,CAP,CAP,Apple Pie v2,Nomz,cap|applepiev2
E-000021,ATF-00021,ATF,CAP,CAP,Apple Snacks,,cap|applesnacks
E-000021,ATF-00021,Major Vendor,CSL,CAP,Apple Snacks,Bull City,cap|applesnacks
E-000021,ATF-00021,Major Vendor,CAP,CAP,Apple Snacks,DIY eJuice,cap|applesnacks
E-000021,ATF-00021,Major Vendor,CSL,CAP,Apple Snacks,Nomz,cap|applesnacks
E-000022,ATF-00022,ATF,CAP,CAP,Apricot,,cap|apricot
E-000022,ATF-00022,Major Vendor,CAP,CAP,Apricot,Bull City,cap|apricot
E-000022,ATF-00022,Major Vendor,CAP,CAP,Apricot,DIY eJuice,cap|apricot
E-000023,ATF-00023,ATF,CAP,CAP,Bacon,,cap|bacon
E-000024,ATF-00024,ATF,CAP,CAP,Banana,,cap|banana
E-000024,ATF-00024,Major Vendor,CAP,CAP,Banana,Bull City,cap|banana
E-000024,ATF-00024,Major Vendor,CAP,CAP,Banana,DIY eJuice,cap|banana
E-000025,ATF-00025,ATF,CAP,CAP,Banana Split,,cap|bananasplit
E-000025,ATF-00025,Major Vendor,CAP,CAP,Banana Split,Bull City,cap|bananasplit
E-000025,ATF-00025,Major Vendor,CAP,CAP,Banana Split,DIY eJuice,cap|bananasplit
E-000026,ATF-00026,ATF,CAP,CAP,Bavarian Cream,,cap|bavariancream
E-000026,ATF-00026,Major Vendor,CAP,CAP,Bavarian Cream,Bull City,cap|bavariancream
E-000026,ATF-00026,Major Vendor,CAP,CAP,Bavarian Cream,DIY eJuice,cap|bavariancream
E-000027,ATF-00027,ATF,CAP,CAP,Berry Blend,,cap|berryblend
E-000027,ATF-00027,Major Vendor,CAP,CAP,Berry Blend,DIY eJuice,cap|berryblend
E-000028,ATF-00028,ATF,CAP,CAP,Berry Cooler,,cap|berrycooler
E-000028,ATF-00028,Major Vendor,CAP,CAP,Berry Cooler,Bull City,cap|berrycooler
E-000028,ATF-00028,Major Vendor,CAP,CAP,Berry Cooler,DIY eJuice,cap|berrycooler
E-000029,ATF-00029,ATF,CAP,CAP,Berrylicious,,cap|berrylicious
E-000029,ATF-00029,Major Vendor,CAP,CAP,Berrylicious,Bull City,cap|berrylicious
E-000030,ATF-00030,ATF,CAP,CAP,Biscuit,,cap|biscuit
E-000030,ATF-00030,Major Vendor,CAP,CAP,Biscuit,DIY eJuice,cap|biscuit
E-000031,ATF-00031,ATF,CAP,CAP,Black Currant,,cap|blackcurrant
E-000031,ATF-00031,Major Vendor,CAP,CAP,Black Currant,DIY eJuice,cap|blackcurrant
E-000032,ATF-00032,ATF,CAP,CAP,Blackberry,,cap|blackberry
E-000032,ATF-00032,Major Vendor,CAP,CAP,Blackberry,Bull City,cap|blackberry
E-000032,ATF-00032,Major Vendor,CAP,CAP,Blackberry,DIY eJuice,cap|blackberry
E-000032,ATF-00032,Major Vendor,CAP,CAP,Blackberry,Nomz,cap|blackberry
E-000033,ATF-00033,ATF,CAP,CAP,Blue Raspberry Cotton Candy,,cap|blueraspberrycottoncandy
E-000033,ATF-00033,Major Vendor,CAP,CAP,Blue Raspberry Cotton Candy,Bull City,cap|blueraspberrycottoncandy
E-000033,ATF-00033,Major Vendor,CAP,CAP,Blue Raspberry Cotton Candy,DIY eJuice,cap|blueraspberrycottoncandy
E-000034,ATF-00034,ATF,CAP,CAP,Blueberry,,cap|blueberry
E-000034,ATF-00034,Major Vendor,CAP,CAP,Blueberry,Bull City,cap|blueberry
E-000034,ATF-00034,Major Vendor,CAP,CAP,Blueberry,DIY eJuice,cap|blueberry
